cdp_id,variant_name,form_description
1143,,|NUN.ME.KA×GAN₂@t|
1147,,|LAGAB×U+A|
1148,,|LAGAB×U+A|
1149,,|AB₂.NUN.ME.DU|
1151,,|AB₂.NUN.ME.DU|
1187,,|A.LAK589.SI|
1188,,|GISAL.PAD.SI|
1189,,|GISAL.SI.A|
1190,,|GISAL.PAD.SI.A|
1191,,|PA.GISAL.SI.A|
1192,,|PA.GISAL.SI.A.PAD|
1193,,|PAD.DUG.GIŠ.SI|
1194,,|SI.GIŠ.PAD.DUG|
1251,,SU
1345,,"Veldhuis, JCS 54, 70."
1369,,|ASAL₂~a|
1370,,|A.TU.NUN&NUN|
1371,,|A.TU.GABA.SIG.GAR|
1372,,|A.TU|
1373,,|A.GABA.LIŠ.TU|
1374,,|A.GIŠ.TU.GABA.LIŠ|
1375,,|GABA.LIŠ|
1376,,|A.TU.GABA|
1377,,|TU.NUN&NUN.LIŠ.A|
1383,,|KA×IGI|
1384,,|URU×(MIN.IGI)|
1452,,ZIB@k
1481,,AC2.GE23&GE23
1482,,AC2.GE23
1578,,|HU.ERIN₂|
1580,,|HU.ŠE.ERIN₂|
1581,,NAM@n
1739,,RABxKAM*
1742,,RABxGAM
1743,,RABxGAM
1751,,TI₂
1765,,|LAGAR@g&LAGAR@g|
1792,,BIxA
1793,,BIxA
1794,,BIxA
1795,,BIxA
1796,,BIxA
1797,,BIxA
1798,,BIxA
1799,,BIxA
1800,,BIxA
1801,,BIxA
1802,,BIxA
1834,,|ARAD.ANŠE|
2203,,|ZUM×TUG₂|
2218,,|GA₂×PA|
2292,,|A.ZI&ZI.EŠ₂|
2293,,|A.ZI&ZI.A|
2354,,|A.HA.MUŠ.DU|
2355,,|A.HA.BU.DU|
2356,,|A.BU|
2357,,|A.HA.BU.LAGAB|
2358,,|MUŠ.A.HA.DU|
2359,,|MUŠ.DU.A.HA|
2360,,BU
2361,,|KAR.MUŠ|
2362,,|A.BU.HA.DU|
2363,,|A.BU.HA.NI.DU|
2364,,|A.HA.BU.TAR.DU|
2365,,|HA.A.TAR.DU|
2366,,|HA.A.TAR|
2367,,|HA.TAR.A.DU|
2368,,|HA.TAR.DU|
2369,,|HA@g.TAR.A.DU|
2370,,|HA@g.TAR.DU|
2371,,|TAR.A.DU|
2372,,|A.HA.DU|
2373,,|A.HA.TAR.UD.DU|
2382,,GISAL
2383,,GISAL
2384,,|GUD.GIŠ|
2385,,|GUD.GIŠ×KID₂|
2394,,|GIŠ.TUG₂.PI.NU₁₁.SILA₃|
2395,,|NU₁₁@90.SILA₃|
2396,,|NU₁₁@90.PI|
2454,,|NUN.KI|
2577,,|A.LAGAB×A|
2687,,|KA×U|
2689,,|KA×UD|
2723,,KAM*
2725,,HI.BAD
2726,,HI.BAD
2864,,|3×AN|
2865,,|ŠU₂.AN|
2867,,|BAR×AN|
3000,,|AB₂×DUB₂|
3027,,LU₂~v
3109,,|KA×ERIN₂|
3110,,AK
3113,,|AK×(ŠITA.GIŠ)|
3150,,|HI.HU|
3164,,|PA.LAGABxGUD+GUD|
3298,,DIC&DIC
3299,,DIC&DIC
3530,,|NA₂.HU|
3575,,|KA×GU|
3631,,|EŠ₂.BU.NUN.EŠ₂.TU|
3632,,|ŠE.EŠ₂.NUN.BU|
3633,,|SUD.NUN.EŠ₂.TU|
3634,,|SUD.NUN.ŠE.EŠ₂|
3635,,|TUG₂.BU.TUG₂.TU|
3636,,|BU.NUN.ŠE.EŠ₂|
3637,,|KU.BU.NUN.TU.KU|
3639,,|NUN.ŠE.LAL|
3690,,|MUŠ₃×(A.DI)|
3691,,|A.MUŠ₃|
3692,,|A.MUŠ₃.DI|
3693,,|A.MUŠ₃×A.DI|
3694,,|A.MUŠ₃.A.DI|
3695,,|MUŠ₃×A|
3696,,|MUŠ₃×DI|
3698,,|ZA.MUŠ₃@g.DI|
3756,,SAGₓ
3757,,SAGₓ
3789,,|GA×SILA₃|
3879,,|KA×(U.U.U)|
3880,,|KA×GAN₂@t|
3985,,|GI.NA.AB.TUM|
3986,,|E₂.GI.NA.AB.U.GUD|
3987,,|E₂.GI.NA.AB.TUM|
3988,,|E₂.GI.NA.AB.HI|
4005,,|TA×HI|
4087,,|ŠU.LAL.TUR|
4088,,|ŠU.LAL.TUR|
4089,,|ŠU.GAR|
4090,,|ŠU.TUR|
4248,,|A.EDIN|
4249,,|A.EDIN.A.LAL|
4250,,|A.U.EDIN.LAL|
4251,,|EDIN.A|
4252,,|EDIN.A.LAL|
4253,,|EDIN.LAL.A|
4262,,|KA×BAR|
4410,,KUR2.IR.GIDIM2
4411,,KUR2.IR.GIDIM2
4444,,KAxUD-bar
4547,1,
4548,2,
4745,,LAGABxHAL
4759,,|URU×(MIN.IM))|
4770,,|ZI&ZI|
