cdp_id,sign_list,number
1,Clay BE A 14,1
2,ARM XV,276
2,Schroeder VS 12,191
2,Schroder VS 15,178
2,Fossey pp,"931, 1060, 1063ff"
3,ARM XV,276
3,Schroeder VS 12,191
3,Schroder VS 15,178
3,Fossey pp,"931, 1060, 1063ff"
4,ARM XV,276
4,Schroeder VS 12,191
4,Schroder VS 15,178
4,Fossey pp,"931, 1060, 1063ff"
5,ARM XV,276
5,Schroeder VS 12,191
5,Schroder VS 15,178
5,Fossey pp,"931, 1060, 1063ff"
6,Schroeder VS 12,217
6,Schroder VS 15,199
6,Fossey pp,1060
7,Schroder VS 15,204
7,Fossey pp,1060
8,Schroeder VS 12,226
8,Fossey pp,289
9,Schroeder VS 12,227
9,Schroder VS 15,207
9,Fossey pp,"1057, 1061"
10,Schroeder VS 12,228
10,Schroder VS 15,208
10,Fossey pp,"1057, 1061"
11,Schroeder VS 12,229
11,Schroder VS 15,209
11,Fossey pp,"1057, 1061"
12,Schroeder VS 12,230
12,Schroder VS 15,210
12,Fossey pp,1062
14,Schroeder VS 12,231
14,Schroder VS 15,211
14,Fossey pp,1062
15,Schroeder VS 12,231
15,Schroder VS 15,212
15,Fossey pp,1062
18,Schroder VS 15,173
18,Fossey pp,929
19,Schroeder VS 12,190
19,Schroder VS 15,177
19,Fossey pp,"1063, 1072"
20,Fossey pp,1067
21,Fossey pp,1067
22,Fossey pp,1067
23,Fossey pp,1067
57,UET 2,290
105,UET 2,153
201,UET 2,305
202,UET 2,305
207,UET 2,303
210,UET 2,306?
248,UET 2,321
360,UET 2,270
449,UET 2,415
458,Fossey pp,780
681,Fossey pp,733
682,Fossey pp,1060
685,Fossey pp,"1066, 1064"
686,Fossey pp,"1066, 1064"
780,Schroder VS 15,13
917,Fossey pp,1061
919,Fossey pp,1061
1118,UET 2,416
1118,ARM XV,311
1118,Clay BE A 14,240
1118,Ranke BE A 61,228
1118,Schroeder VS 12,220
1118,Schroder VS 15,201
1118,Fossey pp,1034-1036
1119,Koenig AfO Bei 16,1
1127,UET 2,102
1127,ARM XV,187
1127,Clay BE A 14,144
1127,Koenig AfO Bei 16,73
1127,Ranke BE A 61,130
1127,Schroeder VS 12,133
1127,Clay BE A 10,133
1127,Schroder VS 15,125
1127,Fossey pp,651-662
1128,UET 2,333
1128,ARM XV,93
1128,Clay BE A 14,60
1128,Koenig AfO Bei 16,38
1128,Ranke BE A 61,49
1128,Schroeder VS 12,65
1128,Clay BE A 10,53
1128,Schroder VS 15,58
1128,Fossey pp,295-297
1129,UET 2,333
1129,ARM XV,93
1129,Clay BE A 14,60
1129,Koenig AfO Bei 16,7
1129,Ranke BE A 61,49
1129,Schroeder VS 12,65
1129,Clay BE A 10,53
1129,Schroder VS 15,58
1129,Fossey pp,295-297
1133,Fossey pp,443
1135,Fossey pp,297
1136,UET 2,177
1136,ARM XV,244
1136,Clay BE A 14,181
1136,Ranke BE A 61,155
1136,Clay BE A 10,151
1136,Schroder VS 15,157
1136,Fossey pp,829ff
1139,Fossey pp,297
1140,Fossey pp,297
1145,Fossey pp,952
1146,Fossey pp,950
1148,Fossey pp,949
1156,UET 2,225
1156,Fossey pp,6-10
1157,UET 2,311
1157,ARM XV,108
1157,Clay BE A 14,68
1157,Koenig AfO Bei 16,12
1157,Ranke BE A 61,54
1157,Schroeder VS 12,78
1157,Clay BE A 10,60
1157,Schroder VS 15,68
1157,Fossey pp,344-348
1158,UET 2,311
1158,ARM XV,108
1158,Clay BE A 14,68
1158,Koenig AfO Bei 16,12
1158,Ranke BE A 61,54
1158,Schroeder VS 12,78
1158,Clay BE A 10,60
1158,Schroder VS 15,68
1158,Fossey pp,344-348
1159,UET 2,311
1159,ARM XV,108
1159,Clay BE A 14,68
1159,Koenig AfO Bei 16,12
1159,Ranke BE A 61,54
1159,Schroeder VS 12,78
1159,Clay BE A 10,60
1159,Schroder VS 15,68
1159,Fossey pp,344-348
1160,UET 2,311
1160,ARM XV,108
1160,Clay BE A 14,68
1160,Koenig AfO Bei 16,12
1160,Ranke BE A 61,54
1160,Schroeder VS 12,78
1160,Clay BE A 10,60
1160,Schroder VS 15,68
1160,Fossey pp,344-348
1161,UET 2,311
1161,ARM XV,108
1161,Clay BE A 14,68
1161,Koenig AfO Bei 16,12
1161,Ranke BE A 61,54
1161,Schroeder VS 12,78
1161,Clay BE A 10,60
1161,Schroder VS 15,68
1161,Fossey pp,344-348
1162,UET 2,311
1162,ARM XV,108
1162,Clay BE A 14,68
1162,Koenig AfO Bei 16,12
1162,Ranke BE A 61,54
1162,Schroeder VS 12,78
1162,Clay BE A 10,60
1162,Schroder VS 15,68
1162,Fossey pp,344-348
1163,Fossey pp,638
1165,Fossey pp,637ff
1166,Fossey pp,637ff
1168,Schroder VS 15,8
1168,Fossey pp,24
1169,Schroder VS 15,8
1169,Fossey pp,24
1170,Fossey pp,"911, 971"
1171,Fossey pp,"911, 971"
1172,Fossey pp,1082
1173,UET 2,237
1174,UET 2,200
1182,Fossey pp,482
1200,UET 2,68
1200,Clay BE A 14,78
1200,Ranke BE A 61,81
1200,Clay BE A 10,65
1200,Schroder VS 15,84
1200,Fossey pp,439-443
1201,ARM XV,198
1201,Ranke BE A 61,122
1201,Schroder VS 15,132
1202,ARM XV,198
1202,Ranke BE A 61,122
1202,Schroder VS 15,132
1203,ARM XV,198
1203,Ranke BE A 61,122
1203,Schroder VS 15,132
1204,ARM XV,198
1204,Schroder VS 15,132
1205,ARM XV,198
1205,Schroder VS 15,132
1209,Fossey pp,946ff
1210,Fossey pp,946ff
1211,Fossey pp,946ff
1212,Fossey pp,952
1215,Fossey pp,209
1217,Fossey pp,447
1226,Fossey pp,881
1228,UET 2,189
1228,ARM XV,233
1228,Clay BE A 14,229
1228,Koenig AfO Bei 16,2
1228,Ranke BE A 61,198
1228,Schroeder VS 12,160
1228,Fossey pp,"789-793, 1086"
1229,UET 2,189
1229,ARM XV,233
1229,Clay BE A 14,229
1229,Koenig AfO Bei 16,33
1229,Ranke BE A 61,198
1229,Schroeder VS 12,160
1229,Fossey pp,"789-793, 1086"
1230,UET 2,189
1230,ARM XV,233
1230,Clay BE A 14,229
1230,Koenig AfO Bei 16,52
1230,Ranke BE A 61,198
1230,Schroeder VS 12,160
1230,Fossey pp,"789-793, 1086"
1231,UET 2,189
1231,ARM XV,233
1231,Clay BE A 14,229
1231,Koenig AfO Bei 16,63
1231,Ranke BE A 61,198
1231,Schroeder VS 12,160
1231,Fossey pp,"789-793, 1086"
1232,UET 2,189
1232,ARM XV,233
1232,Clay BE A 14,229
1232,Koenig AfO Bei 16,2
1232,Ranke BE A 61,198
1232,Schroeder VS 12,160
1232,Fossey pp,"789-793, 1086"
1233,UET 2,189
1233,ARM XV,233
1233,Clay BE A 14,229
1233,Koenig AfO Bei 16,33
1233,Ranke BE A 61,198
1233,Schroeder VS 12,160
1233,Fossey pp,"789-793, 1086"
1234,UET 2,189
1234,ARM XV,233
1234,Clay BE A 14,229
1234,Koenig AfO Bei 16,52
